LOCATION,SUBURB,Reason Code,Audit Date,ADDRESS,lon,lat,type,loctype,address,north,south,east,west
Abey Road,Cobblebank,BCD,May-22,"Abey Road, Cobblebank, Australia",144.587921,-37.7047141,route,geometric_center,"abey rd, cobblebank vic 3338, australia",-37.70334739999996,-37.70627370000002,144.6017826,144.5781148
Adam Street,Golden Square,ACD,Apr-22,"Adam Street, Golden Square, Australia",144.2737982,-36.7759633,route,geometric_center,"adam st, golden square vic 3555, australia",-36.76929539999998,-36.78062640000002,144.2752328,144.2703327
Agar Road,Coronet Bay,BC,T,"Agar Road, Coronet Bay, Australia",145.4467196,-38.4347859,route,geometric_center,"agar rd, coronet bay vic 3984, australia",-38.42463119999998,-38.44672100000002,145.4488768,145.4442645
Airport Drive,Melbourne Airport,ABCD,Apr-22,"Airport Drive, Melbourne Airport, Australia",144.8661163,-37.6929071,route,geometric_center,"airport dr, melbourne airport vic 3045, australia",-37.67550339999998,-37.71082030000002,144.8681863,144.8520793
Aitken Boulevard,Roxburgh Park,ABC,Apr-22,"Aitken Boulevard, Roxburgh Park, Australia",144.9149696,-37.6242561,route,geometric_center,"aitken blvd, roxburgh park vic 3064, australia",-37.60996869999997,-37.63827020000002,144.91502,144.9101747
Aitken Boulevard,Craigieburn,ABCD,Apr-22,"Aitken Boulevard, Craigieburn, Australia",144.9099615,-37.594463,route,geometric_center,"aitken blvd, craigieburn vic 3064, australia",-37.56737979999998,-37.62282000000003,144.9209832,144.9094981
Aitken Street,Alexandra,C,Oct-21,"Aitken Street, Alexandra, Australia",145.7036064,-37.187826,route,geometric_center,"aitken st, alexandra vic 3714, australia",-37.18653791970851,-37.18923588029151,145.7071637,145.7008935
Albert Avenue,Boronia,C,Jul-21,"Albert Avenue, Boronia, Australia",145.2976319,-37.854281,route,geometric_center,"albert ave, boronia vic 3155, australia",-37.843716,-37.8629237,145.3005262,145.2908514
Albert Road,Warragul,ABC,Apr-22,"Albert Road, Warragul, Australia",145.9492776,-38.1623853,route,geometric_center,"albert rd, warragul vic 3820, australia",-38.1600822,-38.164052,145.9588312,145.9393385
Albert Street,East Melbourne,A,May-22,"Albert Street, East Melbourne, Australia",144.9821742,-37.8103042,route,geometric_center,"albert st, east melbourne vic 3002, australia",-37.8079677,-37.8124074,144.9914761,144.9721978
Alexanders Road,Morwell,BC,T,"Alexanders Road, Morwell, Australia",146.4442109,-38.2176636,route,geometric_center,"alexanders rd, morwell vic 3840, australia",-38.2019624,-38.2339373,146.4495924,146.4383942
Allan Street,Kyabram,C,Mar-22,"Allan Street, Kyabram, Australia",145.0501017,-36.3134942,route,geometric_center,"allan st, kyabram vic 3620, australia",-36.3095416,-36.3163175,145.0686335,145.0314238
Allenby Avenue,Reservoir,C,Apr-22,"Allenby Avenue, Reservoir, Australia",145.0061859,-37.7024893,route,geometric_center,"allenby ave, reservoir vic 3073, australia",-37.70017199999999,-37.7054316,145.009037,145.0038716
Allendale Road,Diamond Creek,ABC,Apr-22,"Allendale Road, Diamond Creek, Australia",145.1633835,-37.689348,route,geometric_center,"allendale rd, diamond creek vic 3089, australia",-37.68672989999996,-37.69155680000002,145.1817209,145.1429121
Allies Road,Myers Flat,AC,Apr-22,"Allies Road, Myers Flat, Australia",144.1939154,-36.7242178,route,geometric_center,"allies rd, myers flat vic 3556, australia",-36.70648599999997,-36.73148280000002,144.2203969,144.1733564
Allingham Street,Kangaroo Flat,BCD,Apr-22,"Allingham Street, Kangaroo Flat, Australia",144.2502916,-36.7923623,route,geometric_center,"allingham st, kangaroo flat vic 3555, australia",-36.77914189999998,-36.80300170000002,144.2548658,144.2489731
Ambrose Treacy Drive,Bundoora,BC,Apr-22,"Ambrose Treacy Drive, Bundoora, Australia",145.0713899,-37.6895381,route,geometric_center,"ambrose treacy dr, bundoora vic 3083, australia",-37.6876754,-37.6904698,145.0770768,145.0662212
Anakie Road,Bell Park,BC,Jan-22,"Anakie Road, Bell Park, Australia",144.3329037,-38.1036922,route,geometric_center,"anakie rd, bell park vic 3215, australia",-38.09184899999997,-38.11632150000003,144.3351576,144.3297552
Anderson Road,Sunshine,ABC,T,"Anderson Road, Sunshine, Australia",144.8272501,-37.7859837,route,geometric_center,"anderson rd, sunshine vic 3020, australia",-37.77696899999997,-37.79545840000003,144.8288921302915,144.8261941697085
Anderson Road,Fawkner,C,Apr-22,"Anderson Road, Fawkner, Australia",144.9671501,-37.6956251,route,geometric_center,"anderson rd, fawkner vic 3060, australia",-37.6938894,-37.6973896,144.9749516,144.9587744
