MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Abey Road,COBBLEBANK,BCD,May-22
Adam Street,GOLDEN SQUARE,ACD,Apr-22
Agar Road,CORONET BAY,BC,T
Airport Drive,MELBOURNE AIRPORT,ABCD,Apr-22
Aitken Boulevard,ROXBURGH PARK,ABC,Apr-22
Aitken Boulevard,CRAIGIEBURN,ABCD,Apr-22
Aitken Street,ALEXANDRA,C,Oct-21
Albert Avenue,BORONIA,C,Jul-21
Albert Road,WARRAGUL,ABC,Apr-22
Albert Street,EAST MELBOURNE,A,May-22
Alexanders Road,MORWELL,BC,T
Allan Street,KYABRAM,C,Mar-22
Allenby Avenue,RESERVOIR,C,Apr-22
Allendale Road,DIAMOND CREEK,ABC,Apr-22
Allies Road,MYERS FLAT,AC,Apr-22
Allingham Street,KANGAROO FLAT,BCD,Apr-22
Ambrose Treacy Drive,BUNDOORA,BC,Apr-22
Anakie Road,BELL PARK,BC,Jan-22
Anderson Road,SUNSHINE,ABC,T
Anderson Road,FAWKNER,C,Apr-22
Andersons Creek Road,DONCASTER EAST,ABCD,Apr-22
Anzac Parade,BANDIANA,C,Oct-21
Anzac Road,TRAFALGAR,B,Apr-22
Apollo Road,TAYLORS LAKES,BC,T
Ararat-Halls Gap Road,POMONAL,ABC,Jul-21
Ararat-Halls Gap Road,JALLUKAR,AC,Jul-21
Ararat-Halls Gap Road,MOYSTON,AC,Jul-21
Arcadia Avenue,THE BASIN,ABCD,Nov-21
Arden Street,NORTH MELBOURNE,BC,May-22
Army Road,PAKENHAM,B,Apr-22
Army Road,PAKENHAM UPPER,BC,Apr-22
Arnot Street,BONNIE DOON,BCD,Sep-21
Arthur Street,ST ALBANS,C,T
Arthurs Creek Road,ARTHURS CREEK,ABC,Apr-22
Arthurs Creek Road,YAN YEAN,AC,Apr-22
Arundel Road,KEILOR,C,T
Ascot Vale Road,ASCOT VALE,C,Apr-22
Atkins Road,PAKENHAM,B,Apr-22
Auburn Road,HAWTHORN,ABD,Apr-22
Aughtie Drive,ALBERT PARK,BC,May-22
Avenel Road,SEYMOUR,BC,Oct-21
Avenel-Nagambie Rd,AVENEL,C,Oct-21
Avenel-Nagambie Road,AVENEL,C,Oct-21
Avenue of Honour,WOODEND NORTH,ACD,Nov-21
Averys Road,EAGLEHAWK,ABCD,Apr-22
Avondale Avenue,ST ALBANS,BC,T
Axe Creek Road,AXE CREEK,C,T
Baanip Boulevard,MOUNT DUNEED,ABCD,May-21
Back Beach Road,VENTNOR,A,T
Back Eildon Road,THORNTON,C,Oct-21
Bakers Road,NOBLE PARK NORTH,C,Nov-21
Balcombe Road,BEAUMARIS,ABC,May-22
Balcombe Road,MENTONE,AC,May-22
Ballan Road,BATESFORD,ABC,May-21
Ballan Road,WYNDHAM VALE,C,Sep-21
Ballan-Daylesford Road,BUNDING,ABC,Nov-21
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,Nov-21
Ballarat Road,RAVENHALL,BC,May-22
Ballarat Road,FOOTSCRAY,C,Sep-21
Ballarat Road,HAMILTON,C,Apr-22
Ballarat-Maryborough Road,DAISY HILL,ACD,Nov-21
Ballarto Road,CARDINIA,BC,Apr-22
Balwyn Road,BALWYN,C,Apr-22
Bambra Road,CAULFIELD SOUTH,C,May-22
Banbury Road,RESERVOIR,BCD,Apr-22
Bank Street,AVENEL,C,Oct-21
Banksia Street,HEIDELBERG HEIGHTS,BC,Apr-22
Bannons Lane,YARRAMBAT,AC,Apr-22
Banyule Road,VIEWBANK,ABCD,Dec-21
Barkly Street,WEST FOOTSCRAY,C,Sep-21
Barkly Street West,ARARAT,B,Jul-21
Barmah-Shepparton Road,ZEERUST,AC,Apr-22
Barmah-Shepparton Road,BUNBARTHA,C,Apr-22
Barnes Boulevard,HORSHAM,C,Jul-21
Barrabool Road,HIGHTON,BC,Jan-22
Barrands Lane,DRYSDALE,BC,Jan-22
Barries Road,MELTON,C,May-22
Barry Road,COOLAROO,ABC,Apr-22
