State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude,StateAb,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,251,Watson,1,1,Beverly Hills North (Watson),Beverly Hills North Public School,1-3 Shorter Ave,BEVERLY HILLS,NSW,2209,-33.9413,151.075,NSW,Beverly Hills North (Watson),32705,BURKE,Tony,5,Y,Y,ALP,Labor,1106,-2.14
NSW,251,Watson,1,1,Beverly Hills North (Watson),Beverly Hills North Public School,1-3 Shorter Ave,BEVERLY HILLS,NSW,2209,-33.9413,151.075,NSW,Beverly Hills North (Watson),33309,ZAMAN,Mohammad,6,N,N,LP,Liberal,743,2.14
NSW,103,Banks,2,1,East Hills,1st East Hills Scout Hall,629 Henry Lawson Dr,EAST HILLS,NSW,2213,-33.9611817,150.982054,NSW,East Hills,33334,COLEMAN,David,1,Y,Y,LP,Liberal,616,4.38
NSW,103,Banks,2,1,East Hills,1st East Hills Scout Hall,629 Henry Lawson Dr,EAST HILLS,NSW,2213,-33.9611817,150.982054,NSW,East Hills,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,510,-4.38
NSW,103,Banks,3,1,Riverwood East (Banks),Hannans Road Public School,32 Hannans Rd,RIVERWOOD,NSW,2210,-33.9459,151.058,NSW,Riverwood East (Banks),33334,COLEMAN,David,1,Y,Y,LP,Liberal,512,7.82
NSW,103,Banks,3,1,Riverwood East (Banks),Hannans Road Public School,32 Hannans Rd,RIVERWOOD,NSW,2210,-33.9459,151.058,NSW,Riverwood East (Banks),32664,GAMBIAN,Chris,3,N,N,ALP,Labor,583,-7.82
NSW,103,Banks,4,1,Lugarno,Lugarno Public School,38 Old Forest Rd,LUGARNO,NSW,2210,-33.985015,151.0454806,NSW,Lugarno,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1771,3.91
NSW,103,Banks,4,1,Lugarno,Lugarno Public School,38 Old Forest Rd,LUGARNO,NSW,2210,-33.985015,151.0454806,NSW,Lugarno,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,815,-3.91
NSW,103,Banks,5,1,Mortdale West,Penshurst West Public School,Scott St,MORTDALE,NSW,2223,-33.9615619,151.0731878,NSW,Mortdale West,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1016,4.17
NSW,103,Banks,5,1,Mortdale West,Penshurst West Public School,Scott St,MORTDALE,NSW,2223,-33.9615619,151.0731878,NSW,Mortdale West,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,815,-4.17
NSW,103,Banks,6,1,Narwee,Narwee Public School,61-65 Broad Arrow Rd,NARWEE,NSW,2209,-33.9482,151.069,NSW,Narwee,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1150,5.47
NSW,103,Banks,6,1,Narwee,Narwee Public School,61-65 Broad Arrow Rd,NARWEE,NSW,2209,-33.9482,151.069,NSW,Narwee,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,1070,-5.47
NSW,103,Banks,7,1,Padstow,Padstow Park Public School,Segers Ave,PADSTOW,NSW,2211,-33.9542,151.031,NSW,Padstow,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1067,2.61
NSW,103,Banks,7,1,Padstow,Padstow Park Public School,Segers Ave,PADSTOW,NSW,2211,-33.9542,151.031,NSW,Padstow,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,1042,-2.61
NSW,103,Banks,8,1,Padstow East,Padstow Senior Citizens Centre,17 Cahors Rd,PADSTOW,NSW,2211,-33.949,151.03,NSW,Padstow East,33334,COLEMAN,David,1,Y,Y,LP,Liberal,853,6.65
NSW,103,Banks,8,1,Padstow East,Padstow Senior Citizens Centre,17 Cahors Rd,PADSTOW,NSW,2211,-33.949,151.03,NSW,Padstow East,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,755,-6.65
NSW,103,Banks,10,1,Padstow South,Padstow Heights Public School,94 Chamberlain Rd,PADSTOW HEIGHTS,NSW,2211,-33.9664348,151.0305364,NSW,Padstow South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1264,5.6
NSW,103,Banks,10,1,Padstow South,Padstow Heights Public School,94 Chamberlain Rd,PADSTOW HEIGHTS,NSW,2211,-33.9664348,151.0305364,NSW,Padstow South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,860,-5.6
NSW,103,Banks,11,1,Panania,Panania Senior Citizens Centre,77 Anderson Ave,PANANIA,NSW,2213,-33.9551,150.999,NSW,Panania,33334,COLEMAN,David,1,Y,Y,LP,Liberal,433,7.85
NSW,103,Banks,11,1,Panania,Panania Senior Citizens Centre,77 Anderson Ave,PANANIA,NSW,2213,-33.9551,150.999,NSW,Panania,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,396,-7.85
NSW,103,Banks,12,1,Panania Central,2nd Panania Scouts Hall,21 Wilson St,PANANIA,NSW,2213,-33.9519,150.998,NSW,Panania Central,33334,COLEMAN,David,1,Y,Y,LP,Liberal,555,7.37
NSW,103,Banks,12,1,Panania Central,2nd Panania Scouts Hall,21 Wilson St,PANANIA,NSW,2213,-33.9519,150.998,NSW,Panania Central,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,421,-7.37
NSW,103,Banks,13,1,Panania North,Panania North Public School,202-204 Bransgrove Rd,PANANIA,NSW,2213,-33.9451,150.999,NSW,Panania North,33334,COLEMAN,David,1,Y,Y,LP,Liberal,923,5.79
NSW,103,Banks,13,1,Panania North,Panania North Public School,202-204 Bransgrove Rd,PANANIA,NSW,2213,-33.9451,150.999,NSW,Panania North,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,877,-5.79
NSW,103,Banks,14,1,Panania South,Panania Public School,21A Lawler St,PANANIA,NSW,2213,-33.9661,151,NSW,Panania South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1453,3.63
NSW,103,Banks,14,1,Panania South,Panania Public School,21A Lawler St,PANANIA,NSW,2213,-33.9661,151,NSW,Panania South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,1011,-3.63
NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,65A Bonds Rd,PEAKHURST,NSW,2210,-33.9553,151.061,NSW,Peakhurst East,33334,COLEMAN,David,1,Y,Y,LP,Liberal,925,3.14
NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,65A Bonds Rd,PEAKHURST,NSW,2210,-33.9553,151.061,NSW,Peakhurst East,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,878,-3.14
NSW,103,Banks,17,1,Peakhurst South,Peakhurst South Public School,45 Pindari Rd,PEAKHURST HEIGHTS,NSW,2210,-33.9728147,151.0555257,NSW,Peakhurst South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1070,2.31
